	bladder	bonemarrow	brain	breast	colonsigmoid	colontransverse	heart	hypothalamus	kidney	liver	lung	lymphnodes	ovary	pancreas	placenta	prostate	skin	stomach	testis
EPI-538_XH-XJF	0.04522921907742531	0.09350500645160177	0.043250185540756464	0.04966155354671647	0.061649366854858216	0.06418087637756746	0.04631125556221057	0.04128092270950757	0.04626917442491918	0.05242621290503649	0.05707527459073141	0.06251358031509358	0.042521372307579554	0.04727897018872459	0.04638038030301919	0.045257061071485416	0.048736361336126605	0.06218890986243076	0.04428431657420946
EPI-538_XH-XQP	0.04548088276070728	0.09292009774031461	0.04300725299022867	0.049245798221102165	0.06159151679254507	0.06390337050984207	0.04625967740920241	0.04143968382081037	0.046429073639431453	0.05372103441595016	0.05611547096465253	0.06014445069026916	0.04342749156561618	0.04857548903634194	0.0471453815166958	0.04562320017298824	0.04800022072618662	0.06304549892856544	0.04392440809854966
EPI-538_XH-YBZ	0.04623246039765887	0.0848830749754988	0.04450922282115112	0.05032264705010236	0.060794297285566054	0.06326193270121482	0.047342721015818046	0.04256580923123933	0.046878963954771875	0.05213275065256401	0.056372932945448796	0.060710929785883216	0.04422513929861183	0.04889733496854485	0.047013446811774474	0.04610054943848754	0.048904706767490286	0.06349241669859847	0.0453586631995754
EPI-538_XH-YJC	0.0436733951268961	0.10314968756173334	0.04250029380616789	0.04889371830770744	0.06469158073581427	0.06720777839726315	0.04428994811923702	0.04001521770628007	0.04404164698510181	0.048336707200714576	0.05725202398379832	0.06661890102528431	0.04108540054062833	0.04501778458645388	0.045220608077482426	0.04380970084110056	0.04753042281770788	0.06349337772865846	0.04317180645197013
EPI-538_XH-YJJ	0.04422600368195386	0.10172182262498033	0.04431719779087357	0.04968307599811027	0.06166593735760792	0.0639788964998591	0.04570536079296391	0.041514153685991345	0.044847952737931386	0.048163278991537654	0.05717685107859588	0.06466241629604029	0.04178576609370134	0.04551862298547077	0.044828191982264114	0.044429582443260375	0.048201571623307383	0.062472101530020606	0.045101215805529886
EPI-538_XH-ZCX	0.046418570152641205	0.06054228310405051	0.045113706479711795	0.04990665736229099	0.06086982337839397	0.0638488928132366	0.047611157881664576	0.043016768208319164	0.051343588216488885	0.07112029207231156	0.05278188951093609	0.05263887991296608	0.04489791453268551	0.05478834902143069	0.04769116536236308	0.04828238038761601	0.048331064126278384	0.0642097041409592	0.04658691333565581
EPI-538_XH-ZGR	0.043618331680093596	0.11344643771232542	0.0423929444558672	0.04874717260471054	0.06154007175671642	0.06390048942419924	0.0444906529324926	0.0399547741081493	0.044210623660341536	0.048835347767615805	0.057250898340295474	0.06479227129691091	0.04081893777903897	0.04473463583643632	0.04541771904933662	0.043702868339618166	0.04784359564148436	0.06106908675838678	0.043233140855980866
EPI-538_XH-ZGW	0.04431026257739828	0.1038762221652989	0.04314937299828147	0.04938987059741941	0.061626023874593615	0.06401268788024549	0.045202228221228935	0.04098845710680359	0.04498830569181223	0.049812261758503666	0.056933214910022824	0.06406488991420517	0.041733402094747574	0.045959041903384935	0.04561520459850962	0.044435452659367096	0.04814429027854888	0.06184434750756338	0.04391446326206489
EPI-538_XH-ZGY	0.0447634588668709	0.08800379032712814	0.04400293589603163	0.049317853691359485	0.0619719780056883	0.06458792285627495	0.04608752685208812	0.041602684960464514	0.04721240136673791	0.05756230478804357	0.05593017342290988	0.06025597199182739	0.042487590912834286	0.048646510181339045	0.045790573482952776	0.0457154713096248	0.04809829992579278	0.06298794824262377	0.044974602919407844
EPI-538_XH-ZXL	0.04458388561599541	0.09895956039397084	0.04349740336441428	0.04926765676076717	0.06225748812362925	0.06482379627493526	0.045654174989668894	0.04122789043717096	0.04520541045315981	0.04971184281076555	0.05682916601532226	0.06327060245563751	0.04211321019166293	0.046626759183020144	0.0461622273450727	0.044709338351942976	0.04778319926932861	0.06319292148267733	0.04412346648085811
EPI-538_XH-ZYY	0.04476344751489562	0.10141862338558032	0.043172798475642475	0.04971423377768672	0.06159502903422639	0.06402039287442973	0.04545710339976578	0.04101775824716982	0.04505682132049905	0.04956302730090046	0.05694796882728499	0.06362078199117382	0.04224426663222408	0.04647582492431395	0.04579184852626696	0.04477219344943366	0.048230085266185045	0.0622700138417574	0.043867781210563665
EPI-538_XH-ZZH	0.04506140796330775	0.09837296806245198	0.04302178071245444	0.049367565807185036	0.06138230631625668	0.0637915089085837	0.046084566413148335	0.040913099592182194	0.04588760552452332	0.051234317494330314	0.05679196677014421	0.062010457164142045	0.042559409495197965	0.04699885035964521	0.046699883052810066	0.045005841098521994	0.048501802520393815	0.06231689358390247	0.04399776916081858
EPI-542_XH-BX	0.04461820289339162	0.10148846458957148	0.04402003204726674	0.049921997336980106	0.060608543966848824	0.06306553878742747	0.045728620438215066	0.041540785505574586	0.04543514695081506	0.049029292248456605	0.05704018258021086	0.06439896009611468	0.04204524923364911	0.04608012853230711	0.046273917989542494	0.044613536195435934	0.04867024248245018	0.06103473287381737	0.04438642525192456
EPI-542_XH-DFM	0.04497596203086615	0.09440524384591535	0.04395048600791057	0.049823324906102015	0.062185540214432886	0.0647666116041489	0.045966766006941676	0.04162458256567986	0.04551881357956494	0.04921764175129515	0.0569585225496219	0.06379194319792768	0.042564203698725135	0.04683869328123853	0.04676707295670674	0.04498450782950647	0.04830323963184894	0.06314076604445176	0.044216078297115435
EPI-542_XH-GYB	0.046714277808375504	0.0783138878126171	0.04507461774308715	0.05067265462506161	0.061700291202364164	0.06469559932677608	0.04781527863758594	0.04320672987773953	0.047146851180828064	0.050464543618909063	0.05665683254807136	0.06048140906745708	0.04466683491034	0.04918230286541675	0.04826018551519294	0.04646782477375944	0.048706858190993595	0.06435138824244882	0.04542163205297566
EPI-542_XH-HXM	0.04554947122909427	0.09333741880076492	0.044055900167878664	0.050078446195497256	0.061520233014906285	0.0641280468986656	0.04640897849470568	0.041928031784074095	0.045843962922201185	0.04937019456816513	0.056983802763142084	0.06254929135163238	0.04320102686702713	0.047261932144755554	0.04722977635932787	0.045376834799940695	0.04847302916128708	0.06240870509133386	0.04429491738560019
